nan,294.53,287.32,295.57,280.14,286.75,275.08,283.15,302.19,321.63,350.82,359.32,463.52,394.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.17,261.94,281.53,298.90,382.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.48,263.38,281.70,301.34,383.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.20,268.58,293.27,294.51
294.53,nan,354.38,368.68,315.56,301.90,276.06,288.86,321.12,349.19,341.66,376.36,430.31,0.00,377.64,205.73,246.40,0.00,0.00,0.00,0.00,157.91,222.96,288.83,286.94,304.08,0.00,375.97,206.74,241.55,0.00,0.00,0.00,0.00,0.00,220.74,276.86,281.38,302.32,0.00,367.18,210.04,239.86,0.00,0.00,0.00,0.00,153.01,224.80,288.16,287.14,294.93
287.32,354.38,nan,519.94,396.75,346.26,302.21,287.16,326.35,340.66,381.94,388.99,485.42,0.00,214.40,391.62,282.25,257.67,180.89,0.00,0.00,211.37,266.63,285.92,289.63,309.82,0.00,211.12,403.42,274.58,253.46,191.94,0.00,0.00,214.00,259.90,287.68,288.61,310.20,0.00,206.37,414.04,267.71,249.45,173.20,0.00,0.00,211.69,269.98,278.24,285.48,308.78
295.57,368.68,519.94,nan,637.76,413.08,372.38,354.11,324.97,315.42,358.76,422.66,548.58,0.00,241.08,288.09,419.79,267.72,247.91,256.67,244.81,244.18,275.12,283.36,308.99,312.01,0.00,244.51,274.46,424.58,271.92,256.81,248.00,240.92,241.52,273.62,282.26,318.60,320.11,0.00,248.90,275.77,423.34,274.89,260.60,250.63,240.57,250.96,270.34,290.15,311.59,307.51
280.14,315.56,396.75,637.76,nan,574.51,467.89,382.48,393.19,330.46,353.23,479.75,417.72,0.00,0.00,258.43,271.47,435.96,273.92,273.04,276.88,283.98,275.03,294.61,317.90,293.13,0.00,0.00,251.29,266.73,457.78,284.83,279.08,274.55,279.92,283.96,298.65,317.78,304.03,0.00,0.00,259.85,275.43,452.62,294.35,280.16,275.32,279.10,287.30,294.89,308.40,296.30
286.75,301.90,346.26,413.08,574.51,nan,565.83,505.43,414.34,390.15,345.11,421.22,465.76,0.00,0.00,180.24,259.67,289.09,423.01,315.08,301.95,306.76,300.89,290.23,314.87,349.66,0.00,0.00,184.59,261.56,277.89,437.02,311.28,306.39,299.38,285.90,302.08,329.96,355.98,0.00,0.00,186.11,254.25,285.00,461.08,315.18,294.85,299.08,292.87,291.70,319.38,351.05
275.08,276.06,302.21,372.38,467.89,565.83,nan,458.34,457.00,491.57,471.07,418.53,522.86,0.00,0.00,0.00,252.54,273.43,307.57,543.84,324.76,318.68,320.78,304.06,315.22,355.77,0.00,0.00,150.77,255.57,272.87,311.27,523.28,327.88,308.81,308.46,306.79,320.42,364.60,0.00,0.00,0.00,250.53,274.88,308.48,524.70,327.97,317.62,314.38,305.74,314.30,339.16
283.15,288.86,287.16,354.11,382.48,505.43,458.34,nan,516.39,460.62,421.14,421.49,547.93,0.00,0.00,0.00,242.37,266.39,301.97,326.12,579.31,342.98,325.48,329.84,326.02,382.73,0.00,0.00,0.00,246.98,282.81,291.33,306.61,559.15,352.84,321.17,318.20,311.74,382.23,0.00,0.00,0.00,240.82,273.82,304.71,312.70,590.82,334.03,332.59,318.27,324.54,373.71
302.19,321.12,326.35,324.97,393.19,414.34,457.00,516.39,nan,508.06,492.21,612.32,571.44,0.00,0.00,211.72,249.20,277.71,308.24,301.67,348.26,728.52,342.83,304.25,330.16,385.00,0.00,152.20,216.07,246.82,275.29,305.64,305.45,326.86,673.92,337.68,310.65,333.45,385.69,0.00,0.00,213.36,252.03,280.11,301.86,313.70,342.48,674.34,339.48,319.94,343.92,392.42
321.63,349.19,340.66,315.42,330.46,390.15,491.57,460.62,508.06,nan,574.92,592.25,663.01,173.01,224.04,272.76,275.37,280.83,294.66,307.89,325.79,338.64,746.78,360.08,378.89,448.99,178.17,216.81,275.61,275.86,282.30,300.28,315.43,331.13,338.55,772.66,380.74,385.97,466.86,173.42,221.23,276.03,276.58,282.90,295.69,309.83,318.92,345.35,902.01,377.75,366.87,481.92
